Sample,Homo,Het,Haploid.Cov,Error.Rate,Model.Fit,Genome.Size..b.,Genome.Size..Mb.,Label,Pop.x,Family,Env.x,Sex,Treatment,Sample.1,EPSPS_het,EPSPS_cov,EPSPS_copy,EPSPS_err,EPSPS_fit,EPSPS_length,scaling,EPSPS_scaledcov,EPSPS_scaledcopy,EPSPS_mapped_cov_mean,EPSPS_mapped_cov_var,Env.y,Pop.y,Unnamed: 28,Unnamed: 29,Pair,plinkorder,sample2,decimalLongitude,decimalLatitude,SeqNames,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,year,land_cover_class,top_class_1000m,proportion_agricultural_1000m,shannon_idx_1000m,proportion_natural_1000m,Unnamed: 49,Unnamed: 50,BIO4 = Temperature Seasonality (standard deviation ×100),Shannon idx,fipsx,"2,4-D",ATRAZINE,DICAMBA,GLUF OSINATE,GLYPHOSATE,METOLACHLOR,bio_17,bio_10,bio_01,bio_04,bio_15
342,97.8,2.16,13.1,0.00424,0.939,562115666.0,562.115666,Allentown_Ag_124_F_So,Allentown,124.0,Ag,F,So,342.0,0.0139,53.2,4.061068702,0.00697,4.32,11098.0,1.1098,59.04136,4.506974046,4.216611,0.967375,Agricultural,Allentown,,,12.0,128.0,342.0,-89.48221204,40.55406597,P12_Ag,,,,,,,,2018,"Developed, Low Intensity",Cultivated Crops,92.28429204,0.330400266,92.28429204,,,,,17179,18770.4,66467.7,22680.2,5013.6,145886.1,4884.3,2.3438158e-08,297.05176,284.30453,1072.8025,0.42510763
450,97.1,2.86,14.4,0.00322,0.724,538712096.0,538.712096,Knox_Nat_129_F_Co,Knox,129.0,Nat,F,Co,450.0,0.0264,14.9,1.034722222,0.00543,0.613,11252.0,1.1252,16.76548,1.164269444,1.076537,0.168312,Natural,Knox,,,15.0,110.0,450.0,-86.746256,41.31732501,P15_Nat,,,,,,,,2018,Woody Wetlands,Woody Wetlands,19.61325967,1.20115978,19.61325967,,,,,18149,2756.5,13171.5,7393.4,1462.6,47365.2,4466.7,3.228768e-08,296.8684,284.2088,1039.7712,0.35223144
503,97.3,2.72,13.3,0.00492,0.989,524468355.0,524.468355,Mccombe_Ag_4_F_Wa,Mccombe,4.0,Ag,F,Wa,503.0,1e-05,7.46,0.4721518987,0.00535,0.4,24359.0,2.4359,18.171814,1.15011481,1.179016,0.259149,Agricultural,Mccombe,,,2.0,21.0,503.0,-83.78943597,41.06360497,P2_Ag,,,,,,,,2018,"Developed, Low Intensity",Cultivated Crops,85.55617045,0.7680947532,85.55617045,,,,,39063,18613.7,48696.8,2929.9,6853.9,109614.5,5550.2,2.747639e-08,296.08673,284.08786,990.5662,0.29595977
556,97.6,2.39,16.5,0.00342,0.965,514089892.0,514.089892,Hernan_Ag_120_NA_Wa,Hernan,120.0,Ag,,Wa,556.0,0.0129,48.7,3.580882353,0.00626,1.77,10989.0,1.0989,53.51643,3.935031618,3.286214,0.458992,Agricultural,Hernan,,,9.0,20.0,556.0,-91.51230698,38.63920603,P9_Ag,,,,,,,,2018,"Developed, Low Intensity",Deciduous Forest,37.58649322,1.626719696,37.58649322,,,,,29073,324.3,2936.2,183.5,4326.6,4947.6,596.0,2.4192978e-08,299.14294,286.57193,1032.7964,0.3882354
4801,97.7,2.27,11.4,0.00286,0.794,535874656.0,535.874656,Hernan_Ag_86_M_Co,Hernan,86.0,Ag,M,Co,4801.0,0.00128,35.3,2.654135338,0.00658,0.958,11768.0,1.1768,41.54104,3.123386466,3.566278,0.5293,Agricultural,Hernan,,,9.0,133.0,4801.0,-91.51230698,38.63920603,P9_Ag,,,,,,,,2018,"Developed, Low Intensity",Deciduous Forest,37.58649322,1.626719696,37.58649322,,,,,29073,324.3,2936.2,183.5,4326.6,4947.6,596.0,2.4192978e-08,299.14294,286.57193,1032.7964,0.3882354
4802,97.0,2.95,13.3,0.00296,0.731,560942888.0,560.942888,Allentown_Ag_24_F_Wa,Allentown,24.0,Ag,F,Wa,4802.0,0.00159,43.7,2.648484848,0.00576,1.33,10974.0,1.0974,47.95638,2.906447273,3.35316,0.575802,Agricultural,Allentown,,,12.0,80.0,4802.0,-89.48221204,40.55406597,P12_Ag,,,,,,,,2018,"Developed, Low Intensity",Cultivated Crops,92.28429204,0.330400266,92.28429204,,,,,17179,18770.4,66467.7,22680.2,5013.6,145886.1,4884.3,2.3438158e-08,297.05176,284.30453,1072.8025,0.42510763
4803,97.1,2.85,14.1,0.00307,0.754,533533114.0,533.533114,FoxRidge_Nat_199_F_Wa,FoxRidge,199.0,Nat,F,Wa,4803.0,0.0239,14.6,1.280701754,0.004,0.671,12257.0,1.2257,17.89522,1.56975614,1.164527,0.243804,Natural,FoxRidge,,,4.0,83.0,4803.0,-88.163216,39.393248,P4_Nat,,,,,,,,2018,Woody Wetlands,Deciduous Forest,35.66105437,1.564507448,35.66105437,,,,,17029,15017.6,56152.7,17407.8,15476.6,100204.3,5063.0,3.3615564e-08,298.33832,286.11453,1032.1761,0.3376125
4806,97.3,2.69,12.8,0.00262,0.722,528787074.0,528.787074,WeldonSprings_Nat_15_F_Co,WeldonSprings,15.0,Nat,F,Co,4806.0,0.1,23.6,1.77443609,0.0173,0.584,5075.0,0.5075,11.977,0.9005263158,1.116444,0.106826,Natural,WeldonSprings,,,8.0,79.0,4806.0,-90.73639403,38.65643696,P8_Nat,,,,,,,,2018,"Developed, Low Intensity",Cultivated Crops,32.41895262,1.606827745,32.41895262,,,,,29183,989.8,15110.8,530.1,19564.9,22434.9,2563.9,2.632137e-08,298.78442,286.5387,1016.80695,0.39897746
4809,96.8,3.22,14.3,0.0023,0.724,561666855.0,561.666855,Pekin_Nat_150_F_Co,Pekin,150.0,Nat,F,Co,4809.0,0.0152,13.8,0.9787234043,0.00408,0.984,12801.0,1.2801,17.66538,1.25286383,1.04624,0.405365,Natural,Pekin,,,12.0,101.0,4809.0,-89.65567603,40.57469501,P12_Nat,,,,,,,,2018,"Developed, Medium Intensity",Cultivated Crops,29.4329184,1.881461538,29.4329184,,,,,17179,18770.4,66467.7,22680.2,5013.6,145886.1,4884.3,2.34655e-08,297.3527,284.3939,1084.3057,0.47166124
4810,97.0,2.95,12.2,0.00228,1.0,569610640.0,569.61064,Keysport_Nat_197_M_Co,Keysport,197.0,Nat,M,Co,4810.0,0.0153,18.3,1.4296875,0.00666,0.517,11391.0,1.1391,20.84553,1.628557031,1.504869,0.159442,Natural,Keysport,,,5.0,146.0,4810.0,-89.277403,38.732444,P5_Nat,,,,,,,,2018,Water,Water,23.25131324,1.734988754,23.25131324,,,,,17027,13529.3,65777.3,8703.3,16995.6,103356.1,2734.1,3.4570604e-08,298.82028,286.79904,1015.1073,0.33375627
4813,97.5,2.55,12.8,0.00285,0.942,518594016.0,518.594016,Lawrence_Nat_101_F_Wa,Lawrence,101.0,Nat,F,Wa,4813.0,0.00554,25.0,1.748251748,0.00758,2.17,11098.0,1.1098,27.745,1.94020979,2.171054,0.350131,Natural,Lawrence,,,17.0,117.0,4813.0,-95.241462,38.927036,P17_Nat,,,,,,,,2018,"Developed, Medium Intensity",Pasture/Hay,41.77392278,1.872383738,41.77392278,,,,,20045,7054.8,19566.8,5187.5,3421.4,40296.8,1713.4,1.2132852e-08,299.45386,286.4504,1047.7438,0.49105367
4814,96.7,3.31,14.1,0.00265,0.835,528530158.0,528.530158,Jackson_Ag_20_F_Wa,Jackson,20.0,Ag,F,Wa,4814.0,1e-05,7.16,0.5868852459,0.00371,0.726,24627.0,2.4627,17.632932,1.445322295,1.095457,0.082737,Agricultural,Jackson,,,10.0,58.0,4814.0,-91.98047097,39.463458,P10_Ag,,,,,,,,2018,"Developed, Low Intensity",Pasture/Hay,67.40761323,1.309409922,67.40761323,,,,,29137,8358.8,24378.7,4740.3,21762.9,60580.1,10294.7,2.3983871e-08,298.90726,286.15054,1057.2158,0.35395035
4819,97.2,2.76,12.5,0.0032,0.858,530620247.0,530.620247,Pontiac_Nat_25_M_So,Pontiac,25.0,Nat,M,So,4819.0,0.0225,13.9,1.0859375,0.00518,0.332,11634.0,1.1634,16.17126,1.263379688,1.19192,0.354732,Natural,Pontiac,,,13.0,60.0,4819.0,-88.62446599,40.87326997,P13_Nat,,,,,,,,2018,"Developed, Low Intensity","Developed, Low Intensity",22.20994475,1.482814351,22.20994475,,,,,17105,13684.8,112573.9,19155.7,18440.1,195493.8,14489.9,2.3720114e-08,297.04355,284.3794,1066.926,0.35993263
4820,97.0,3.04,14.1,0.00253,0.709,550766396.0,550.766396,Hickory_Ag_90_M_Wa,Hickory,90.0,Ag,M,Wa,4820.0,0.0222,14.5,1.028368794,0.00666,0.222,11134.0,1.1134,16.1443,1.144985816,1.106761,0.291588,Agricultural,Hickory,,,11.0,56.0,4820.0,-90.26269396,40.17519498,P11_Ag,,,,,,,,2018,"Developed, Low Intensity",Cultivated Crops,68.22585109,1.123717256,68.22585109,,,,,17169,3751.2,33578.0,5021.8,2793.5,48683.3,1251.0,2.3356357e-08,298.07678,285.13168,1087.3728,0.37279233
4821,97.3,2.66,14.1,0.00223,0.605,570487434.0,570.487434,Gascondale_Nat_51_F_Co,Gascondale,51.0,Nat,F,Co,4821.0,0.0043,25.6,2.048,0.00663,1.69,12301.0,1.2301,31.49056,2.5192448,2.002971,0.534191,Natural,Gascondale,,,9.0,57.0,4821.0,-91.55559699,38.66783702,P9_Nat,,,,,,,,2018,Barren Land,Deciduous Forest,22.9980604,1.839746041,22.9980604,,,,,29073,324.3,2936.2,183.5,4326.6,4947.6,596.0,2.4192978e-08,299.14294,286.57193,1032.7964,0.3882354
4822,96.9,3.06,13.4,0.00196,0.671,543383187.0,543.383187,Keysport_Nat_191_M_Co,Keysport,191.0,Nat,M,Co,4822.0,0.124,22.2,1.574468085,0.0169,1.2,5244.0,0.5244,11.64168,0.8256510638,0.990444,0.162092,Natural,Keysport,,,5.0,53.0,4822.0,-89.277403,38.732444,P5_Nat,,,,,,,,2018,Water,Water,23.25131324,1.734988754,23.25131324,,,,,17027,13529.3,65777.3,8703.3,16995.6,103356.1,2734.1,3.4570604e-08,298.82028,286.79904,1015.1073,0.33375627
